geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
1	CG43349	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
2	NLaz	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
3	CR44897	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
4	CG43402	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
5	CG31668	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
6	Cyp309a2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
7	CR44772	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
8	CG3285	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
9	CG11236	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
10	mir-305	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
11	CG13793	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
12	CG7179	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
13	CR44825	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
14	CG7227	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
15	CR44996	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
16	CG33723	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
17	CG4382	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
18	CG7329	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
19	CG17107	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
20	CR44582	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
21	CG14072	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
22	CG14915	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
23	CG43725	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
24	Oatp33Eb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
25	nub	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
26	CG5204	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
27	CR44972	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
28	CG43376	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
29	CG16888	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
30	CG15258	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
31	CG18480	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
32	CG13258	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
33	CG44405	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
34	CG33552	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
35	CR44605	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
36	CG31787	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
37	CR45721	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
