geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG43349	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43402	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG31668	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG3285	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG11236	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG13793	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7179	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7227	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG33723	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4382	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG7329	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17107	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14072	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14915	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG43725	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG5204	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43376	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG16888	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG15258	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18480	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG13258	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG44405	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG33552	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG31787	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG13086	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG16798	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG11630	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG2528	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG6675	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12826	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
