geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG15358	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG16995	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG31698	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG15404	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG42460	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG42847	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG4382	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG17105	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG17107	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG14915	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG43725	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG16888	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4500	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG34166	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG42587	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG6012	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG17684	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14760	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG34227	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG8850	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG33632	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG12374	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG4734	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG6280	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG30098	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG5084	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14502	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG15225	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG4363	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
