geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
Ptth	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
lectin-22C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
v(2)k05816	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Art2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Jon25Biii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Ugt37b1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
slam	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Nha1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Wnt10	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
mir-305	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ntl	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Mur29B	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Cyp4e3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
w-cup	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Vha100-5	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Oatp33Eb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Cyt-b5-r	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
elfless	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
TpnC41C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
ap	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
tomboy40	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cyp6a2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Tsp42Eq	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
fa2h	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Lcp3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Cyp4ad1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Mal-A2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Mal-A3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Mal-A4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Jon44E	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
BBS4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
lambdaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
kappaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
zetaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
iotaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
ths	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Damm	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cpr49Ad	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
vg	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
S-Lap7	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Mdr50	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
scaRNA:PsiU5-44	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cyp6a23	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Hex-C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Nox	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Amy-p	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
GstE10	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Jheh3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
otp	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cht4	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Cht9	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
LS2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
ttm2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
scaRNA:MeU2-48	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Cpr64Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Jon65Aii	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Jon65Ai	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Lcp65Ag3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Lcp65Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
zpg	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cpr65Ea	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
fan	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
eIF4E-3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Jon66Ci	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Jon66Cii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
S-Lap2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Elo68beta	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
ind	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
ms(3)72Dt	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Cpr72Ea	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Cpr72Eb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
sinah	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
edin	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
cln3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ssk	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Sfp77F	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
sa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Act79B	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
BoYb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Osi14	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Ccp84Ae	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Antp	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
alpha-Est8	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
alpha-Est6	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Pif1B	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Npc2d	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ugt86Dc	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Hsp70Ab	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Hsp70Ba	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Hsp70Bbb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Hsp70Bb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
snk	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ir87a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Rbp4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ubx	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Abd-B	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
AttD	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
MtnC	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
MtnB	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
MtnD	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
HHEX	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
P5CDh2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
tbrd-1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
AstA	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
sosie	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
MCO3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
E(spl)m6-BFM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
ppk15	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
TwdlM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
TwdlP	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
TwdlB	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
TwdlL	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
TwdlO	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
TwdlK	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
TwdlN	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
RpS10a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
mil	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Dhc98D	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Jon99Ciii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Jon99Cii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Jon99Ci	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CecA2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Jon99Fii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Jon99Fi	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
mesh	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
mey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
pncr017:3R	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
pcl	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cyp4g1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
vnd	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Tsp2A	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Bteb2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
mir-3645	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
vanin-like	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Inx7	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Ir7b	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
hdm	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Erk7	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cyp318a1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Muc11A	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Ag5r2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
mir-283	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Traf-like	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
spheroide	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
TwdlX	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
f	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
