geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
NLaz	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cyp309a2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
mir-305	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Oatp33Eb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
nub	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Gr39a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snmRNA:254	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
ap	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
alphaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
vg	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
mir-4978	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Sox15	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Cyp6a8	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Jhe	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Nox	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Amy-p	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
bw	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
slbo	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Mmp1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ppm1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cpr64Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Cpr64Ac	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Blimp-1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Jon65Ai	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
caup	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Zmynd10	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
PGRP-SB2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
tey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
mir-33	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
obst-J	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Neu2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Sfp78E	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
TwdlG	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
Osi14	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Antp	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
RacGAP84C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
grn	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Whamy	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
mthl11	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ugt86Di	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ir87a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Cht5	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ubx	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
bxd	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
AttD	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
MtnB	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CCAP-R	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
TwdlM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Ppn	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ssl2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Dr	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Jon99Fi	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Spn100A	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
mey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
nyo	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Hr4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
hdm	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
C901	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
m	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
Ag5r2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
sing	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CCKLR-17D3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
Cyp6t1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
