geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
1	CR44222	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
2	CR45348	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
3	CR44897	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
4	CG15358	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
5	CG16995	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
6	Cyp309a1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
7	Cyp309a2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
8	CG31698	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
9	CG15404	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
10	CG42460	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
11	tomb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
12	CR45463	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
13	Fbp2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
14	CG42847	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
15	CG4382	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
16	CG17105	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
17	CG17107	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
18	CR44407	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
19	CR44493	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
20	CG14915	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
21	CG43725	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
22	salr	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
23	CR44587	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
24	CG16888	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
25	NimC2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
26	CG4500	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
27	CG34166	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
28	CG42587	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
29	CG6012	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
30	CR44695	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
31	CR44489	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
32	CR45700	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
33	CR44910	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
34	CR44269	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
35	CR44917	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
36	CR44918	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
37	CG17684	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
38	ap	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
39	esn	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
40	CG14760	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
41	Lcp1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
42	Lcp2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
43	Lcp3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
44	Mal-A6	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
45	CR45132	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
46	Wnt2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
47	magu	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
48	Def	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
49	CR45135	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
50	CG34227	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
51	alphaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
52	snoRNA:Psi28S-1180	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
53	ths	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
54	CG8850	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
55	CG33632	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
56	CG12374	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
57	CR45141	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
58	vg	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
59	CG4734	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
60	CG6280	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
61	Poxn	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
62	Nox	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
63	CG30098	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
64	snoRNA:Dek-a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
65	CG5084	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
66	CR45147	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
67	CG14502	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
68	CR42736	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
69	edl	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
70	snoRNA:185	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
71	CG15225	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
72	CR45148	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
73	CG4363	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
74	CR45152	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
75	CG11362	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
76	LS2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
77	CG30413	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
78	CG3502	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
79	snoRNA:Psi18S-176	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
80	CR44067	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
81	CR45252	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
82	CR45378	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
83	snoRNA:Psi18S-1086	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
84	snoRNA:Psi28S-2622	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
85	RabX5	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
86	CR45687	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
87	CG43444	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
88	CR45424	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
89	snRNA:U11	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
90	Cpr64Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
91	CG1273	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
92	CG32249	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
93	CG33993	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
94	Cpr65Aw	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
95	CG32364	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
96	Cpr66Cb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
97	se	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
98	Hsp67Ba	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
99	CR43481	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
100	Hsp23	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
101	Hsp27	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
102	Or67a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
103	CR45169	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
104	Sgs8	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
105	Sgs7	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
106	CG5964	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
107	CG5883	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
108	CR44552	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
109	CG42729	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
110	CG42728	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
111	CG43083	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
112	CG43084	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
113	Eig71Ee	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
114	CG4950	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
115	snRNA:U12:73B	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
116	Rh4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
117	CG13028	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
118	CR43870	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
119	CG6034	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
120	CG14079	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
121	CG14089	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
122	CG13813	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
123	CR43877	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
124	CG7173	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
125	CR43309	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
126	CG7448	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
127	BoYb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
128	CR44317	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
129	snRNA:U1:82Eb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
130	CG2016	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
131	snRNA:U4atac:82E	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
132	Osi9	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
133	CR45593	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
134	Ama	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
135	CR44933	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
136	CR44333	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
137	CR44334	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
138	Os-C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
139	CR45551	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
140	Ir85a	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
141	CG8534	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
142	CG9458	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
143	CR45595	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
144	Cyp313a3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
145	CG44956	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
146	CG11598	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
147	Dtg	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
148	Ir87a	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
149	Cht5	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
150	CG42500	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
151	natalisin	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
152	Sb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
153	CG17560	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
154	Ubx	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
155	Abd-B	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
156	Mur89F	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
157	CG33333	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
158	CG14332	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
159	CG7587	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
160	CG7606	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
161	lbe	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
162	CG15497	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
163	CG7069	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
164	CG31139	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
165	CG6660	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
166	CG17110	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
167	CG6432	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
168	CG13627	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
169	CG43166	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
170	CG13639	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
171	CG11854	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
172	MCO3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
173	E(spl)m6-BFM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
174	dys	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
175	TwdlM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
176	CG18472	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
177	CG14258	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
178	CG43139	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
179	CG33346	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
180	CG14508	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
181	CG7567	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
182	CG11470	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
183	neo	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
184	janB	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
185	CG15530	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
186	CecA2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
187	Rpt6R	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
188	CG31021	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
189	Spn100A	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
190	mey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
