geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG11912	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG11911	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG33127	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG43349	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG5011	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14346	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17650	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG16995	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG34448	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG34447	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG3332	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG33282	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG3285	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG2772	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG34176	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG15629	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11149	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11327	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG17376	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG11236	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG18585	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG7025	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG42819	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43796	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG43400	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG9463	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9466	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9468	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9555	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG9568	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13102	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
