Geneid	w1118_1	w1118_2	w1118_3	PcKD_1	PcKD_2	PcKD_3	vgLOF_PcKD_1	vgLOF_PcKD_2	vgLOF_PcKD_3	sdLOF_PcKD_1	sdLOF_PcKD_2	sdLOF_PcKD_3
CG11023	0	4	0	1	0	0	0	0	0	0	0	0
l(2)gl	5074	5492	4568	6486	7253	5860	7395	7145	7181	5179	5569	5428
Ir21a	2	0	0	0	0	0	0	0	0	0	0	0
CR43609	1	2	2	1	1	0	0	0	1	0	0	3
Cda5	170	194	160	143	183	114	112	110	124	126	108	183
CR46254	0	0	0	0	0	0	0	0	1	0	0	0
CR45339	0	0	0	0	0	0	0	0	0	0	0	0
CR45340	1	0	0	1	0	0	0	0	0	0	1	0
dbr	1067	1195	910	1228	1331	1176	1012	810	852	1005	817	880
CR44987	12	9	6	8	3	19	3	7	8	7	5	8
galectin	940	978	748	885	1015	858	821	789	777	825	771	687
CG11374	6	12	6	10	6	7	8	5	13	4	10	14
net	420	500	378	370	553	298	343	346	347	240	337	283
Zir	2575	2383	1860	2954	3266	2671	2067	1842	1847	1991	1841	1745
CG11377	708	663	551	676	640	664	625	552	488	543	440	408
Nhe1	400	329	277	320	349	380	262	202	225	227	215	171
Sam-S	6498	6731	5126	5448	7390	5110	6400	5956	6581	5626	6626	5964
ND-15	914	867	683	1008	1068	1015	851	751	858	827	1009	845
CG13694	29	2	50	2	6	2	0	0	0	0	0	0
CG4822	466	258	278	190	449	395	132	83	99	97	67	51
CG3164	3622	3478	2585	3856	4478	3729	2933	2640	2450	2414	2357	2275
CR44969	0	0	0	0	0	0	0	0	0	1	1	0
Gs1	1030	886	1794	613	1608	696	223	239	303	183	96	85
CR44185	1	0	2	0	0	0	0	0	0	0	0	0
CR44186	0	0	0	0	0	0	0	0	0	0	0	0
ovm	0	0	0	0	0	0	0	0	0	0	0	0
CG31975	0	0	0	0	0	0	0	0	0	0	0	0
CG31974	9	6	27	1	8	5	0	1	5	1	1	0
CG11454	307	317	196	374	403	404	586	453	551	424	507	432
CG42399	113	91	57	145	146	139	130	108	120	101	100	97
CG3709	286	290	225	293	351	271	289	237	272	264	254	230
