geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PcKD_v_sdPc_change
CG4822	208.666182041218	-2.01635604401714	0.310592163309849	-6.49197334063324	8.47192529483547e-11	1.39307224423568e-09	depleted in absence of sd
Gs1	655.41018367607	-2.73459084552691	0.504392272265368	-5.4215557927664	5.90825505073844e-08	5.79086516594401e-07	depleted in absence of sd
CR46263	30.2164039793454	1.6788111901746	0.452788012345484	3.70772004646988	0.000209133669477625	0.000930689325700852	enriched in absence of sd
Amnionless	9.03417399912338	-3.14012929346177	1.2872763886162	-2.4393590383782	0.0147133416890081	0.0386994262312656	depleted in absence of sd
CG4213	30.4668697484376	-2.4640443636637	0.654241112114581	-3.76626341273423	0.000165708961513722	0.000759414688654908	depleted in absence of sd
BBS8	46.8515199772066	1.89638827426851	0.409667035875383	4.6290965789236	3.67264462760701e-06	2.53354337173576e-05	enriched in absence of sd
CG4297	43.7058368140507	-1.41630789611005	0.334484257604201	-4.23430359997985	2.2926104638022e-05	0.000130234221784049	depleted in absence of sd
Ets21C	124.246409478826	1.96103708178014	0.300952585380702	6.5160998012343	7.21589746511838e-11	1.20165375302879e-09	enriched in absence of sd
Ptth	8.77101298459618	2.89869290829283	0.928804576146723	3.12088568762061	0.00180308011540932	0.0063002378372705	enriched in absence of sd
Pkg21D	38.5979225821507	-1.8774019973702	0.636421340815207	-2.94993564320989	0.00317840128529262	0.0103357340303452	depleted in absence of sd
Nnf1b	63.9340609969124	1.03603129765161	0.238421310793155	4.34538042847363	1.39034491652402e-05	8.31519778563626e-05	enriched in absence of sd
Iris	4.65381570478313	-2.36019386410944	0.993912155538472	-2.37465036618931	0.0175655800152704	0.0449146297798773	depleted in absence of sd
CG5397	333.63991781299	-1.43371190579362	0.177882771944489	-8.05986937420239	7.63760190032479e-16	3.08393979434736e-14	depleted in absence of sd
chinmo	1307.85889827667	2.1041109311863	0.326165170728958	6.45105952448494	1.11070860337759e-10	1.78156297149123e-09	enriched in absence of sd
