geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PcKD_v_vgPc_change
CG4822	208.666182041218	-1.51912358344541	0.305621949143899	-4.97059713054229	6.67470128368922e-07	7.49166787614078e-06	depleted in absence of vg
Gs1	655.41018367607	-1.69048776433504	0.50134943701177	-3.37187526211455	0.000746582534978476	0.00356555793215224	depleted in absence of vg
CG4213	30.4668697484376	-1.75004790510201	0.621086437253996	-2.81772036890627	0.00483659119139501	0.017452932514182	depleted in absence of vg
CG13692	44.3526164678706	1.395458605086	0.513596608612521	2.71703235902555	0.00658701672472902	0.0224104209944184	enriched in absence of vg
BBS8	46.8515199772066	1.71773584838718	0.410718871798495	4.18226667030271	2.88617158897304e-05	0.000209999969602578	enriched in absence of vg
CG4133	75.343123425696	-1.37211341545203	0.268742935044567	-5.10567250902607	3.29620123003574e-07	4.00724965027352e-06	depleted in absence of vg
CG4297	43.7058368140507	-1.21367517541139	0.326885409569541	-3.71284596950846	0.000204941625168595	0.00118566228024368	depleted in absence of vg
Ets21C	124.246409478826	2.52032148110809	0.298632531258383	8.43954096523884	3.18586333500187e-17	1.82827447515107e-15	enriched in absence of vg
CG13947	52.8863687751422	-6.44585223755775	1.70866837987972	-3.77244192814729	0.000161657599291218	0.000959162431814596	depleted in absence of vg
CG13950	4.17073682518626	-5.46713159107743	1.75410793587022	-3.11675894013053	0.00182851021180829	0.0076810381742785	depleted in absence of vg
ninaA	8.24486505625445	-2.3688038432218	0.815814083549962	-2.90360744069789	0.00368890374216762	0.0139086395421749	depleted in absence of vg
Iris	4.65381570478313	-3.00272443648891	1.07925532977606	-2.78221877033672	0.00539886335024706	0.0190882634649013	depleted in absence of vg
robo3	213.824516531207	-1.07805227314233	0.190632008695729	-5.65514826454475	1.55711798660967e-08	2.59292938987078e-07	depleted in absence of vg
chinmo	1307.85889827667	1.87939164577331	0.326228734854302	5.76096292257233	8.3635412641509e-09	1.46588570531275e-07	enriched in absence of vg
CG15353	2551.5504268678	-4.67845770264331	0.886598890711552	-5.27685941371814	1.31416626799272e-07	1.74687555972033e-06	depleted in absence of vg
Nplp4	323.314466471865	-4.22072638891601	0.72350858669117	-5.83369218632042	5.42140959222787e-09	9.725735460074e-08	depleted in absence of vg
CR43751	11.2111857793152	-1.50338570234091	0.545334842281704	-2.75681211941398	0.00583678779787982	0.0203136201351709	depleted in absence of vg
CG16995	4.28465200815527	-6.03103667340789	1.58878073162708	-3.79601574550282	0.000147040163447666	0.000884727567441031	depleted in absence of vg
CG31689	64.3430613884138	-1.73402117795001	0.476532236631321	-3.63883289451322	0.000273876434823246	0.00152710420177579	depleted in absence of vg
CG9961	8.47650458917168	2.54058599639001	0.962518356940724	2.63951952507693	0.00830236406276659	0.0271672084628972	enriched in absence of vg
Syt1	282.829932345445	-1.20184569774525	0.45229232737666	-2.65723211515897	0.00787851772108221	0.0261165522219974	depleted in absence of vg
daw	159.690119518998	1.73412843827694	0.382176800510105	4.537503155509	5.69241789685284e-06	5.0174127688693e-05	enriched in absence of vg
Rbp9	117.336614188505	-1.54914493745055	0.285055508481787	-5.4345378052904	5.49386487632403e-08	8.09965658700037e-07	depleted in absence of vg
CG17224	67.4270106575863	-1.37627098152097	0.294017138136862	-4.68092094985407	2.85589053957643e-06	2.69767925835742e-05	depleted in absence of vg
CG31698	184.439241850519	-5.53857969934475	1.41221222786324	-3.92191739319872	8.78471118123178e-05	0.000562983630951831	depleted in absence of vg
CG15404	140.022809254554	-5.02202662620795	1.26702955584947	-3.96362231885029	7.38210114737059e-05	0.000482526317495614	depleted in absence of vg
CG9664	37.0480418080537	-2.10543106798558	0.851714316817828	-2.47199210628733	0.0134362483108625	0.0406054684230313	depleted in absence of vg
pgant4	21.7222946618591	-3.08624958585383	1.17429437530939	-2.62817369370495	0.0085844670441058	0.0279021319210674	depleted in absence of vg
Sr-CIV	10.9568392859321	2.08132206898256	0.609397250322555	3.41537817553479	0.000636935136195968	0.0031143589756096	enriched in absence of vg
Drgx	50.7267351071079	-1.55942843735229	0.388760852555519	-4.01127949766905	6.03905645867254e-05	0.000406436876670055	depleted in absence of vg
CG3604	30.5064494876294	-3.16644445973742	1.01925243898342	-3.10663417484246	0.00189230412047384	0.00791475477348657	depleted in absence of vg
CG31955	120.956221655948	2.86684113936544	0.295393905169446	9.70514654904928	2.86664057080868e-22	2.94216552430884e-20	enriched in absence of vg
Shaw	36.341915661328	-1.36652067552968	0.381870877403028	-3.57848884634231	0.000345586613784597	0.00186130757407327	depleted in absence of vg
slp1	219.630025667447	-1.00428863355728	0.168527251625224	-5.95920614542892	2.53466196340362e-09	4.87477149502167e-08	depleted in absence of vg
Traf4	706.447783039474	-1.43877035476315	0.0890629512635139	-16.1545326575379	1.05515200574932e-58	8.04478036383444e-56	depleted in absence of vg
CG15630	470.675103716802	-1.55032430973031	0.165237261670194	-9.38241347054449	6.44795718678232e-21	5.88252094117218e-19	depleted in absence of vg
CG15629	22.3444633580717	3.11014353726013	0.567613309104976	5.47933511665585	4.26927083249546e-08	6.46385771149737e-07	enriched in absence of vg
hoe2	44.7350370869766	-1.99722642335888	0.688125674501104	-2.90241520897601	0.00370297386973168	0.0139469100513465	depleted in absence of vg
Jon25Bii	3.9756895065399	-4.28721605532392	1.67525937899876	-2.55913568314791	0.0104932777059613	0.0330398956440798	depleted in absence of vg
Jon25Bi	7.12142662860403	-4.37387318716023	1.81533217539179	-2.40940652429975	0.0159784886531618	0.0466962634909899	depleted in absence of vg
CG8891	658.897980150455	1.71387971730536	0.102807325009122	16.670793809228	2.13737100906336e-62	2.28142981507423e-59	enriched in absence of vg
qtc	153.765001875386	-1.16882372403548	0.163718998144587	-7.13920642858595	9.38712720734553e-13	3.12143912184443e-11	depleted in absence of vg
Cyp4ac1	79.1607562108628	-1.59578317071074	0.521992733326823	-3.05709843993482	0.00223490866695127	0.00916810726788543	depleted in absence of vg
CR44743	7.79744090195305	1.9300275693812	0.684019596526673	2.82159689456491	0.00477851997174622	0.0172784289222287	enriched in absence of vg
CG14024	30.0876023536166	-1.68997801652089	0.519034760513682	-3.25600161123764	0.0011299311029314	0.00508468996319132	depleted in absence of vg
DIP-theta	20.2613820144166	-2.18979772978621	0.794777117997708	-2.75523499632576	0.0058649994204582	0.0203528453785173	depleted in absence of vg
CG11029	62.209268196398	1.19129641465469	0.373048418767408	3.19340963457467	0.00140603336458604	0.00612821565275273	enriched in absence of vg
