geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_PcKD_change
CG13694	8.7042177677913	-3.47535490463323	1.31930859255556	-2.63422441439672	0.00843297302921465	0.0398901047538971	depleted in absence of Pc
CG17075	104.332173899194	1.11388303732819	0.231735353114787	4.80670308762274	1.53439606879239e-06	2.88833390644803e-05	enriched in absence of Pc
CG13692	44.3526164678706	2.00076612967946	0.597909601609749	3.34626860698141	0.000819070098130764	0.00610932037505983	enriched in absence of Pc
Ets21C	124.246409478826	2.36200776426435	0.41143103083083	5.7409567759014	9.41431206507545e-09	3.10006333949961e-07	enriched in absence of Pc
Pph13	26.1865290276685	1.74793755083002	0.490784619035838	3.56151656558411	0.000368718839481499	0.00316205400067624	enriched in absence of Pc
CR43767	49.7065813611569	-7.8146544187876	0.887024284251796	-8.8099667140221	1.25183025166571e-18	1.97230670881669e-16	depleted in absence of Pc
CR44897	2.20938430069138	4.35552630475647	1.51667105760205	2.87176727143644	0.00408183451018083	0.0223779803098297	enriched in absence of Pc
CG10869	7.04015666457406	-1.98025815722224	0.764941478124073	-2.58877079339269	0.00963191822494168	0.0440949819140044	depleted in absence of Pc
CG17646	187.548808646792	-1.26129004504681	0.252354827773192	-4.99808169384584	5.79034549177148e-07	1.19074152974361e-05	depleted in absence of Pc
CG16995	4.28465200815527	4.98670877890114	1.58878073162708	3.13870169724064	0.00169698102860249	0.010957618356821	enriched in absence of Pc
CG15414	124.455246064076	-1.23656119725066	0.337284394151294	-3.66622713263152	0.000246155310900882	0.00227105994498733	depleted in absence of Pc
Clect27	604.850502476941	-1.40899708600982	0.52964713268289	-2.66025623299921	0.00780812250037262	0.0375942560067306	depleted in absence of Pc
hoe1	65.7552505781879	-1.42965359678121	0.419306024865889	-3.40957084324862	0.000650651767392258	0.0050748855672994	depleted in absence of Pc
Cyp28d2	26.0523895708381	-1.55526846127897	0.383307804064067	-4.05749229415381	4.96024533509079e-05	0.00058814882212749	depleted in absence of Pc
GluRIIA	16.3654525742573	-1.33611426495543	0.518104062350393	-2.57885309544594	0.00991289329289379	0.0450990405208908	depleted in absence of Pc
CG11029	62.209268196398	-1.44082666954468	0.371900116437023	-3.87423021898588	0.000106962261511969	0.001121187840475	depleted in absence of Pc
obst-E	51.5231508337071	-1.32327612652834	0.326821888642198	-4.04892136210942	5.14542287199011e-05	0.000604985942962694	depleted in absence of Pc
CR43465	7.74746231347904	-2.26080899684508	0.85283420346984	-2.65093612292607	0.0080269020806006	0.0384308107561621	depleted in absence of Pc
Gal	358.747295539043	1.50454148700357	0.478617818953679	3.143513315682	0.00166932820623016	0.010806314892543	enriched in absence of Pc
CG9150	136.250392646106	-2.52106320119837	0.219239595194697	-11.4991235910627	1.33261644427324e-30	7.18280263463276e-28	depleted in absence of Pc
CG13982	16.9355771616402	2.84387423991149	0.706579376430326	4.02484750443592	5.70122480519795e-05	0.000656316250856145	enriched in absence of Pc
Tig	809.868259482661	-1.22236648171173	0.441183850950477	-2.77065100882157	0.00559443523936426	0.0286893396526437	depleted in absence of Pc
CG11236	4.40016592407252	5.61236705122399	2.1512343454086	2.60890547010953	0.00908323304275293	0.0422248704452259	enriched in absence of Pc
CG6055	37.9934871367984	-3.61722558532924	0.817729909059225	-4.4234967380498	9.71160989002337e-06	0.000144559007098444	depleted in absence of Pc
CG7203	4.0129762386225	-3.70742769083565	1.28333751457918	-2.88889528180851	0.00386597794510753	0.0214587968215968	depleted in absence of Pc
Uro	3.26518929308718	-6.29502894323804	2.01921111397816	-3.11756848982267	0.00182349571925835	0.0115774455430408	depleted in absence of Pc
CG14535	82.1409533797433	-1.17763343815875	0.277015675151035	-4.25114368534084	2.12681662052844e-05	0.000286588539616208	depleted in absence of Pc
TwdlE	424.544184700641	1.39937541674999	0.287746941611853	4.86321560504242	1.15493923705578e-06	2.23586629994106e-05	enriched in absence of Pc
Scgalpha	28.1419776676208	-1.16193057399533	0.395559769865047	-2.93743363838984	0.00330940991942095	0.0189444756762381	depleted in absence of Pc
mtsh	8.6107262578055	-2.93526717321214	0.871923828593976	-3.36642614521204	0.000761489701323878	0.00575169982822738	depleted in absence of Pc
CG14273	13.2908236783689	-4.32805414404815	1.2762395119335	-3.3912554058847	0.000695732328054187	0.00536925001627952	depleted in absence of Pc
CR43855	7.94981481853054	-4.52394955203972	1.24239609868526	-3.64131017219636	0.00027125409515189	0.00247806707265879	depleted in absence of Pc
SoxN	336.803507584534	1.20881010821752	0.325746009680781	3.71089766963566	0.000206525583325638	0.00194300419467368	enriched in absence of Pc
CG4382	401.73902608437	3.73061788191233	1.02588231475789	3.63649692391156	0.000276370942015907	0.00251360108098126	enriched in absence of Pc
CG4839	16.7726389152611	-5.55094844401069	0.998862496940868	-5.55726985547171	2.74026937503923e-08	8.22964770374683e-07	depleted in absence of Pc
CG17105	6.1701101156095	-4.02444917270345	1.30579388868965	-3.08199418573014	0.00205618853669157	0.0126797357392162	depleted in absence of Pc
CG7296	58.715094016084	-2.2979798033417	0.687780431439928	-3.34115322026635	0.000834311670056939	0.00617800854161469	depleted in absence of Pc
CG7294	98.2422222643421	-1.94411486653385	0.405430696211904	-4.79518419473035	1.62525423933737e-06	3.03187955158851e-05	depleted in absence of Pc
CG7300	23.5040615818965	-2.80217900341203	0.784002631874055	-3.57419591400324	0.000351305823293594	0.00302413916314763	depleted in absence of Pc
Ada1-1	5.98920826915348	-7.19759781096105	1.50019146343903	-4.79778614021794	1.60428933407436e-06	3.00878530338112e-05	depleted in absence of Pc
Rh5	9.21291522787999	-1.97988920238025	0.611621843035729	-3.2371132995402	0.00120745462365738	0.00830459556808274	depleted in absence of Pc
nub	787.944859468818	1.00392328963347	0.164529911549731	6.10176763712669	1.0490180391079e-09	4.11608955498237e-08	enriched in absence of Pc
CG16800	41.9950147187218	2.63739855186577	0.420191892319855	6.27665264387862	3.45939749098434e-10	1.5140038335543e-08	enriched in absence of Pc
CG5867	20.8905403327638	-2.97790412899982	1.17368611642734	-2.53722361312789	0.0111735558059118	0.0495575508914435	depleted in absence of Pc
CG16820	72.3231481765795	-1.1455956135357	0.368906243286987	-3.10538418468699	0.00190032023356623	0.0119540414692579	depleted in absence of Pc
