geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_sdPc_change
CG13694	8.7042177677913	-7.37514356591431	1.70752606736922	-4.31919822886053	1.56597077532914e-05	8.40253014569116e-05	depleted in absence of sd and Pc
CG4822	208.666182041218	-2.25774560236977	0.310723710574513	-7.26608728440874	3.70049527112443e-13	6.86166961208332e-12	depleted in absence of sd and Pc
Gs1	655.41018367607	-3.48032286802909	0.504200291297674	-6.90265937584385	5.10379095945629e-12	7.86238643365894e-11	depleted in absence of sd and Pc
CG31974	5.86041687811931	-4.58170919824729	1.46786376150657	-3.12134499018136	0.0018002699666773	0.00583132065321806	depleted in absence of sd and Pc
CG17075	104.332173899194	1.11348131488125	0.23357523647292	4.76712057192049	1.86877483388023e-06	1.22096953411222e-05	enriched in absence of sd and Pc
CR46263	30.2164039793454	1.299188129982	0.450275964471013	2.88531530104719	0.00391021827384994	0.0116249449592214	enriched in absence of sd and Pc
Amnionless	9.03417399912338	-4.29752380223518	1.27556515254899	-3.3691135208949	0.000754103634609005	0.0027088709798196	depleted in absence of sd and Pc
CG4213	30.4668697484376	-3.20390126213767	0.651062177496069	-4.92103730316451	8.6086718831682e-07	6.0136175224119e-06	depleted in absence of sd and Pc
CG13692	44.3526164678706	3.18851994068683	0.589415627791457	5.40962911457611	6.31554047551461e-08	5.51034627349102e-07	enriched in absence of sd and Pc
BBS8	46.8515199772066	2.43067155520336	0.435296667710854	5.58394248222899	2.35126495525778e-08	2.20570100152433e-07	enriched in absence of sd and Pc
CG4297	43.7058368140507	-1.48629218497166	0.336955041755466	-4.41095101954371	1.02917598717756e-05	5.79374439411106e-05	depleted in absence of sd and Pc
Ets21C	124.246409478826	4.32304484604449	0.400077402561245	10.8055211775744	3.24111180385564e-27	2.95074006601841e-25	enriched in absence of sd and Pc
CG11835	22.4928518858303	-1.59515715145846	0.446800538850819	-3.57017732243843	0.000356739655903113	0.00139223730081373	depleted in absence of sd and Pc
Pph13	26.1865290276685	2.21420898642183	0.4877053196545	4.54005502337029	5.62395497595896e-06	3.33681986741325e-05	enriched in absence of sd and Pc
Pkg21D	38.5979225821507	-3.23727736780904	0.629050797355494	-5.14628926855897	2.65689619729203e-07	2.04363892405281e-06	depleted in absence of sd and Pc
CG13949	3.56340983530554	-5.90304376866217	1.54520355167519	-3.82023699224776	0.000133323506466519	0.000579805867785287	depleted in absence of sd and Pc
GluRIIC	14.4591284281256	-3.59627237679468	0.93464837384028	-3.84772763474496	0.000119218486827592	0.000524212087566928	depleted in absence of sd and Pc
CR43767	49.7065813611569	-9.04579911547451	1.21730637488641	-7.43099625705864	1.07782762460432e-13	2.13394499580752e-12	depleted in absence of sd and Pc
CG5397	333.63991781299	-1.29637420701001	0.179173944190018	-7.23528308131222	4.64559107777799e-13	8.47267325137605e-12	depleted in absence of sd and Pc
robo2	2871.00387581027	1.20345089930458	0.0575469455758367	20.912506949976	4.12006171024181e-97	1.14403813539139e-93	enriched in absence of sd and Pc
CR44897	2.20938430069138	3.62799683872045	1.56425417614008	2.31931414603784	0.0203780089607515	0.0478189625604265	enriched in absence of sd and Pc
chinmo	1307.85889827667	2.37901683867722	0.327018710427673	7.27486459586962	3.46768094003245e-13	6.46233761760746e-12	enriched in absence of sd and Pc
CG17646	187.548808646792	-2.29249873108561	0.262510685462521	-8.7329730103993	2.48064301114517e-18	8.71914617873082e-17	depleted in absence of sd and Pc
CG31664	1.8643132687581	-5.09788012989492	1.68787812849806	-3.02028922812763	0.00252533405588121	0.00788111417776695	depleted in absence of sd and Pc
CR42874	2.5644497651957	-5.18540704134194	1.85721108767899	-2.79203967483432	0.00523769335170617	0.0149550282923908	depleted in absence of sd and Pc
CG15353	2551.5504268678	-3.66929981554574	0.88526213954987	-4.14487376294153	3.40000962997114e-05	0.000168814961824271	depleted in absence of sd and Pc
Nplp4	323.314466471865	-5.74001044339226	0.738097116732683	-7.77676854883465	7.44005472968107e-15	1.70384923469212e-13	depleted in absence of sd and Pc
CG4259	91.173396391002	-1.84083842806853	0.2956085179583	-6.22728479132733	4.74587978287778e-10	5.74836278608762e-09	depleted in absence of sd and Pc
CG15382	14.794441455722	-1.5350119852655	0.583688677186512	-2.62984711758423	0.00854232741889971	0.022851548805809	depleted in absence of sd and Pc
CG4267	126.432774676224	-1.25684274461237	0.310835972241354	-4.04342758513315	5.26754303469904e-05	0.00025088593690567	depleted in absence of sd and Pc
eys	31.9322727178374	1.70275754121154	0.543893700511118	3.13068075547003	0.00174401635226673	0.00567559027970307	enriched in absence of sd and Pc
Cyp309a1	9.5581223021088	-6.27635054549045	1.70415333221266	-3.68297290323125	0.000230529672025362	0.000937566117607358	depleted in absence of sd and Pc
CG31689	64.3430613884138	-2.39923992962736	0.480421918972446	-4.99402678120722	5.91331923766984e-07	4.28995668013056e-06	depleted in absence of sd and Pc
Syt1	282.829932345445	-1.06231161308308	0.450812203518407	-2.35643934390455	0.0184510807005744	0.044032743359467	depleted in absence of sd and Pc
daw	159.690119518998	-1.51462169152857	0.396242098318725	-3.8224653512466	0.000132124048462497	0.000574909297251579	depleted in absence of sd and Pc
Rbp9	117.336614188505	-1.42983716454008	0.274719652076258	-5.2047138009012	1.94295814360959e-07	1.53161363385889e-06	depleted in absence of sd and Pc
CG31698	184.439241850519	-4.89003580898739	1.3829742787294	-3.53588341026855	0.000406414015543348	0.00156357480798059	depleted in absence of sd and Pc
CG15404	140.022809254554	-4.59542212041745	1.24541889898423	-3.68986059563211	0.000224376973959413	0.000917245141614721	depleted in absence of sd and Pc
CG9664	37.0480418080537	-3.15055538811688	0.846822451555817	-3.72044385730274	0.000198872949970043	0.000826368071573985	depleted in absence of sd and Pc
CG15412	5.28063023572555	-3.08187872799978	1.16410103131683	-2.64743234916093	0.00811055857420919	0.0219182418695235	depleted in absence of sd and Pc
Thor	1287.40499441242	-1.96619452594672	0.367625040422878	-5.34836942468612	8.87501703676429e-08	7.53054348566394e-07	depleted in absence of sd and Pc
CG15414	124.455246064076	-1.23428706769724	0.339018517835006	-3.64076592505765	0.000271828186475848	0.00108917592611372	depleted in absence of sd and Pc
tim	17.7505915774848	-1.69437930861585	0.634520229153019	-2.67033142643469	0.00757764103463169	0.0206235871040564	depleted in absence of sd and Pc
Drgx	50.7267351071079	-1.84987096386821	0.406673597952018	-4.54878549574902	5.3956406398988e-06	3.20477971055379e-05	depleted in absence of sd and Pc
CG16704	260.310034713616	-3.75168857301457	1.37496556801835	-2.72856910767711	0.00636097602902253	0.0177071079584845	depleted in absence of sd and Pc
CG3604	30.5064494876294	-5.77514759213312	1.06736061510419	-5.41068080497741	6.27855959170304e-08	5.48238690134007e-07	depleted in absence of sd and Pc
CG31778	99.2374264975518	-3.9977131824147	1.04275090505596	-3.83381415737077	0.00012617148021912	0.000551292931075441	depleted in absence of sd and Pc
slp1	219.630025667447	-1.49778674722709	0.17434628823385	-8.59087258122817	8.63113086301846e-18	2.8702386375912e-16	depleted in absence of sd and Pc
slp2	261.070411227016	-2.06162070616978	0.143165082998493	-14.4003039218123	5.15164797257942e-47	2.2007443858246e-44	depleted in absence of sd and Pc
lectin-24Db	127.74533366617	-2.07591027554636	0.227252353672779	-9.13482409311135	6.55131950504808e-20	2.71513081128989e-18	depleted in absence of sd and Pc
ft	6801.32849945045	1.03199361504177	0.0973316419723033	10.6028583729783	2.89009414601833e-26	2.3777981985056e-24	enriched in absence of sd and Pc
CG15630	470.675103716802	-1.00395826884658	0.165164632212852	-6.07853058730367	1.2128884879308e-09	1.36628320846323e-08	depleted in absence of sd and Pc
hoe2	44.7350370869766	-1.92909582720726	0.665142543538622	-2.90027430352641	0.00372836229805762	0.0111529544962365	depleted in absence of sd and Pc
Jon25Bii	3.9756895065399	-4.45726252233153	1.67670169243849	-2.65835153768418	0.00785239387614188	0.0213035023894255	depleted in absence of sd and Pc
Jon25Bi	7.12142662860403	-6.74807636174047	1.8029273869112	-3.74284422696655	0.00018194903059762	0.000762319080666829	depleted in absence of sd and Pc
vkg	901.94012240377	-1.12046018532782	0.218516836131695	-5.12756913912366	2.93507206686506e-07	2.24826520321863e-06	depleted in absence of sd and Pc
Col4a1	1464.41388182698	-1.16221031408295	0.151503782919883	-7.67116366128984	1.70442902349376e-14	3.72659314250889e-13	depleted in absence of sd and Pc
qtc	153.765001875386	-1.0787929566861	0.162734062937747	-6.62917730443928	3.37562920956749e-11	4.70428025478873e-10	depleted in absence of sd and Pc
Cyp28d1	72.5572580724096	-2.74415220408386	1.06943991273897	-2.56597137566686	0.010288731835996	0.0268295471505398	depleted in absence of sd and Pc
TpnC25D	83.8236045216526	-7.93263257283835	1.61684092622996	-4.90625419244868	9.28322007807215e-07	6.43223489751387e-06	depleted in absence of sd and Pc
Cyp4ac1	79.1607562108628	-2.27413519841325	0.523441588781343	-4.34458256117518	1.39540756369767e-05	7.59000578354066e-05	depleted in absence of sd and Pc
CR44743	7.79744090195305	-3.07802617392674	0.917554857748715	-3.35459634694638	0.000794808696213954	0.00283310018897574	depleted in absence of sd and Pc
CG14022	1.72350798563658	-4.80832101721317	1.59767874155611	-3.00956687483364	0.00261620476854304	0.00813271378791142	depleted in absence of sd and Pc
fusl	37.3619273847488	-2.27977194838908	0.854842077765107	-2.66689252633574	0.0076556148978845	0.020805215236311	depleted in absence of sd and Pc
GluRIIA	16.3654525742573	-2.21983686773797	0.563679847012552	-3.93811643169946	8.21237447498386e-05	0.000373678178179622	depleted in absence of sd and Pc
CG7236	9.0848973959561	2.25748718219837	0.756970376875221	2.98226621696518	0.00286123078892026	0.00878377290562114	enriched in absence of sd and Pc
CG11147	49.6540455195598	-1.47324893974977	0.323799533736291	-4.54987974426675	5.36765827779734e-06	3.19247407280069e-05	depleted in absence of sd and Pc
CG11029	62.209268196398	-1.85093635303837	0.384555924931598	-4.8131786121033	1.48548410644439e-06	9.96575645296327e-06	depleted in absence of sd and Pc
CG11034	54.7086236947155	-2.52218655313356	0.412727759681358	-6.11101747815749	9.89979220028033e-10	1.13827113839041e-08	depleted in absence of sd and Pc
CR43465	7.74746231347904	-3.99696415731898	1.05705652200512	-3.78122084686368	0.000156061151333812	0.000666681233794096	depleted in absence of sd and Pc
H2.0	15.0981867245509	-4.38121466584329	0.934339252057288	-4.68910479378496	2.74402844431212e-06	1.72875348445687e-05	depleted in absence of sd and Pc
CG13996	2.80504102384041	-5.06032124341232	1.5507756292628	-3.2630905128538	0.00110204316614989	0.00377091603401936	depleted in absence of sd and Pc
CG9150	136.250392646106	-4.73081654817733	0.304626208770689	-15.5299065279656	2.1769688589727e-54	1.34331072870054e-51	depleted in absence of sd and Pc
AANATL2	60.7754173700418	-4.14359729154847	1.13184605097016	-3.66091951109146	0.000251311705315806	0.00101428746763905	depleted in absence of sd and Pc
CG13982	16.9355771616402	3.2591057396854	0.704299372796715	4.62744376264849	3.70206713117863e-06	2.27553180000006e-05	enriched in absence of sd and Pc
Tig	809.868259482661	-1.57265792540855	0.441740305974262	-3.56014134127978	0.000370655238896819	0.00144148030056967	depleted in absence of sd and Pc
CG16947	304.921225643855	1.29488182970976	0.116672321125879	11.0984492055549	1.27639349542409e-28	1.3249441638949e-26	enriched in absence of sd and Pc
eya	2554.35604271867	-1.0901777173474	0.107498905426408	-10.1412913277867	3.62278508187141e-24	2.45355328685035e-22	depleted in absence of sd and Pc
CR44776	9.97222684016395	-1.81501697818384	0.711432000424487	-2.55121638765319	0.0107347653569863	0.0278382065888506	depleted in absence of sd and Pc
CG11319	65.476537879075	-1.74342385691084	0.574407974900568	-3.03516652465112	0.00240402911782285	0.00753217247155384	depleted in absence of sd and Pc
CG31636	10.3303383943302	-3.27920516324092	1.31395696918778	-2.49567165450476	0.0125718911872079	0.0317426677463782	depleted in absence of sd and Pc
Tsp	997.876042625108	1.02729677940841	0.103723171190152	9.90421684586854	3.99084414845961e-23	2.35778223175217e-21	enriched in absence of sd and Pc
CG11221	10.6569830917179	-1.77854849245819	0.766862438811433	-2.31925362678446	0.0203812882651534	0.0478189625604265	depleted in absence of sd and Pc
Nha1	8.33519571738464	-3.94634643822706	1.14847688129352	-3.43615661969819	0.000590029772871242	0.00217904719819309	depleted in absence of sd and Pc
Ndae1	98.3945977923508	-1.48213995180523	0.444199842449799	-3.33665123254232	0.00084794281812923	0.00300035071072359	depleted in absence of sd and Pc
ninaC	32.572332556532	1.36229739112425	0.405009390973296	3.36361926781611	0.000769275886452322	0.00275624105510514	enriched in absence of sd and Pc
CG5171	63.5527371296668	-4.50747443444487	0.59358530337473	-7.59364224285604	3.11036401625154e-14	6.61816343457968e-13	depleted in absence of sd and Pc
CG5177	282.841021017034	-4.58248853412711	0.68821844154374	-6.65847971735275	2.7667446106439e-11	3.90969877740736e-10	depleted in absence of sd and Pc
CG5958	277.686584358675	-4.47595200159201	1.24164478676376	-3.60485708095163	0.000312324755269734	0.00123495587639051	depleted in absence of sd and Pc
santa-maria	70.977916745846	-1.70735409666734	0.588139570215155	-2.90297436719442	0.00369636889772935	0.0110632092015844	depleted in absence of sd and Pc
CG6055	37.9934871367984	-4.30280336712119	0.849046781842705	-5.06780481257195	4.0242975126834e-07	3.01401702450266e-06	depleted in absence of sd and Pc
Obp28a	10.9577381109262	-5.05467497093953	1.9995004232343	-2.52796894274387	0.0114724499938531	0.029469126290871	depleted in absence of sd and Pc
CG13795	42.9493913007136	-2.10809060814211	0.898860486712649	-2.34529233324284	0.019012166383296	0.0451503382551356	depleted in absence of sd and Pc
CG13796	60.658902313833	-3.35948922170469	0.572589876134567	-5.8671823616301	4.43263072620437e-09	4.62718322142406e-08	depleted in absence of sd and Pc
CG7203	4.0129762386225	-6.28664933695272	1.58243742860114	-3.97276329751	7.10436381338307e-05	0.000328647100688237	depleted in absence of sd and Pc
Uro	3.26518929308718	-6.04424262119868	2.01922564709965	-2.99334679602572	0.00275936006873317	0.00852997837000259	depleted in absence of sd and Pc
CG7149	35.3070819849	-1.56218856536388	0.535420475623622	-2.91768551351038	0.00352639811376094	0.0106088038595728	depleted in absence of sd and Pc
lectin-28C	256.861514197399	-2.25267273753035	0.285263657986829	-7.8968094058247	2.8613339814074e-15	6.86411156187733e-14	depleted in absence of sd and Pc
TwdlE	424.544184700641	1.53316527355916	0.287901744455726	5.32530734211974	1.00782485897525e-07	8.40383686834694e-07	enriched in absence of sd and Pc
