geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
CG13694	8.7042177677913	-7.42279252715766	1.70752606736922	-4.34710349025239	1.37947140655788e-05	9.07688916625494e-05	depleted in absence of Pc and vg
CG4822	208.666182041218	-1.76051314179803	0.305755633895136	-5.75790908370254	8.51621983894369e-09	1.0628050983275e-07	depleted in absence of Pc and vg
Gs1	655.41018367607	-2.43621978683722	0.501156288885363	-4.86119767598984	1.16677668550063e-06	9.72927075514675e-06	depleted in absence of Pc and vg
CG31974	5.86041687811931	-2.99727248719525	1.20132792190924	-2.49496613916355	0.0125969150297865	0.0344700505631531	depleted in absence of Pc and vg
CG4213	30.4668697484376	-2.48990480357598	0.617736885674419	-4.03068824497602	5.56137677732572e-05	0.000317258407117395	depleted in absence of Pc and vg
CG13692	44.3526164678706	3.39622473476546	0.587901102108196	5.77686403816339	7.6105734860359e-09	9.60575451243191e-08	enriched in absence of Pc and vg
BBS8	46.8515199772066	2.25201912932203	0.436286718353288	5.161787041838	2.44603463452377e-07	2.34006086870417e-06	enriched in absence of Pc and vg
CG4297	43.7058368140507	-1.283659464273	0.329413192907845	-3.89680647864067	9.74694411595448e-05	0.000521480290442709	depleted in absence of Pc and vg
Ets21C	124.246409478826	4.88232924537244	0.39833510746731	12.2568389123801	1.54406496806419e-34	2.90676772886253e-32	enriched in absence of Pc and vg
CG11835	22.4928518858303	-1.88903178279559	0.457562153575743	-4.12847034666927	3.6518452363215e-05	0.000217952955614309	depleted in absence of Pc and vg
Pph13	26.1865290276685	1.83352832445187	0.492660882677047	3.72168440589142	0.00019789826473273	0.000976479798483531	enriched in absence of Pc and vg
CG13947	52.8863687751422	-7.58304959045757	1.70735727046757	-4.44139590560382	8.93771805656903e-06	6.15063410497597e-05	depleted in absence of Pc and vg
Pkg21D	38.5979225821507	-1.84632928765285	0.588516487085445	-3.13726009070122	0.00170534773905681	0.006332764071449	depleted in absence of Pc and vg
CG13949	3.56340983530554	-3.53107199233601	1.30569727003553	-2.70435733716432	0.00684366495994587	0.0206219714351923	depleted in absence of Pc and vg
CG13950	4.17073682518626	-5.23960050598443	1.76333755473826	-2.97141094279147	0.00296434834108538	0.0101777486937976	depleted in absence of Pc and vg
ninaA	8.24486505625445	-2.09430520918759	0.830273888445143	-2.52242692240942	0.0116548163524827	0.0324030150756007	depleted in absence of Pc and vg
Lsp1beta	17105.5215523783	-5.41412618784917	2.02066128076464	-2.6793833481089	0.00737578979413305	0.0219397153838875	depleted in absence of Pc and vg
GluRIIC	14.4591284281256	-2.49528576797387	0.864491585137246	-2.88641996159826	0.00389651840307428	0.0128958968721532	depleted in absence of Pc and vg
CR43767	49.7065813611569	-9.09344811040773	1.21730637488641	-7.47013923364715	8.01100109505182e-14	2.23201418399616e-12	depleted in absence of Pc and vg
CG5080	110.696018655681	-1.01060156262071	0.400839795898114	-2.52121065064504	0.011695181612306	0.0324827162210259	depleted in absence of Pc and vg
chinmo	1307.85889827667	2.15429755326423	0.327082108692386	6.58641208434394	4.5058215224318e-11	8.24483684508238e-10	enriched in absence of Pc and vg
CG17646	187.548808646792	-1.94626649291533	0.258442782329812	-7.53074423425607	5.04519267885919e-14	1.45550532685945e-12	depleted in absence of Pc and vg
CG31664	1.8643132687581	-5.14552909487626	1.68787812849806	-3.04851932612869	0.00229972120182741	0.00820000108786422	depleted in absence of Pc and vg
CG31663	26.8464127590611	-3.41878386142166	0.885127569472689	-3.86247585018551	0.000112243664071207	0.000589730547227481	depleted in absence of Pc and vg
CG15353	2551.5504268678	-4.95233307095482	0.88660118868288	-5.58575054282515	2.32693050636478e-08	2.68940865080058e-07	depleted in absence of Pc and vg
Nplp4	323.314466471865	-4.95508182207698	0.723276380702872	-6.85088294638032	7.33955551508523e-12	1.50129729477075e-10	depleted in absence of Pc and vg
dpr3	12.5635222437814	-1.47198977054707	0.600721148067845	-2.45037115021099	0.0142709028872955	0.0382959454866372	depleted in absence of Pc and vg
CR43751	11.2111857793152	-1.3120130850852	0.557965120505763	-2.35142491325611	0.0187016637339439	0.0477726549396832	depleted in absence of Pc and vg
CG4267	126.432774676224	-1.4103766389041	0.31189468988948	-4.52196425467796	6.12684078513959e-06	4.37063716124248e-05	depleted in absence of Pc and vg
CG31689	64.3430613884138	-2.21921038840704	0.475636869389392	-4.66576611534762	3.07469278417035e-06	2.33588322529275e-05	depleted in absence of Pc and vg
CG9961	8.47650458917168	2.76679423313715	1.00038333260924	2.76573403709225	0.0056794834734177	0.017674985413071	enriched in absence of Pc and vg
Syt1	282.829932345445	-1.55761244563385	0.452216460736557	-3.44439572831308	0.000572337346536603	0.00247834343391113	depleted in absence of Pc and vg
daw	159.690119518998	1.18823249734223	0.380933993370614	3.11926086414186	0.00181305365400329	0.00669245162346778	enriched in absence of Pc and vg
Rbp9	117.336614188505	-2.09611830046613	0.283841562402782	-7.38481807499233	1.5266198131132e-13	4.04439116530381e-12	depleted in absence of Pc and vg
FASN2	5.94557803628061	3.92846864825899	1.23311601608721	3.18580619909908	0.00144351259312077	0.00547391409074511	enriched in absence of Pc and vg
CG31698	184.439241850519	-6.39059190684789	1.41194705387645	-4.52608466394171	6.00865157496878e-06	4.30568342214053e-05	depleted in absence of Pc and vg
CG15404	140.022809254554	-5.64576979539373	1.26680438469221	-4.45670212671821	8.32301246624666e-06	5.76691824470378e-05	depleted in absence of Pc and vg
CG9664	37.0480418080537	-3.23174494894784	0.847851102873572	-3.81168926713037	0.000138020314270889	0.000708406483644531	depleted in absence of Pc and vg
pgant2	328.426889216425	-1.22710301746977	0.10656814366359	-11.514726402136	1.11211953169707e-30	1.58362969725119e-28	depleted in absence of Pc and vg
Thor	1287.40499441242	-1.32042943387431	0.36692871738976	-3.59859932269004	0.000319935663083199	0.00148187047951005	depleted in absence of Pc and vg
CG15414	124.455246064076	-1.63191667083285	0.342016855000989	-4.77145101760593	1.82903463795885e-06	1.46362303485655e-05	depleted in absence of Pc and vg
Drgx	50.7267351071079	-1.3604015596523	0.392608774364731	-3.46503096333881	0.000530170434936473	0.00231743526990925	depleted in absence of Pc and vg
CG16704	260.310034713616	-4.5328671452394	1.37819802670656	-3.28898101535631	0.00100550805712153	0.00401733021239167	depleted in absence of Pc and vg
CG3604	30.5064494876294	-5.32158658348273	1.00920177415368	-5.27306502997918	1.34163996788455e-07	1.37215424708045e-06	depleted in absence of Pc and vg
CG31778	99.2374264975518	-2.73799646650656	1.02958070871187	-2.65933155442677	0.00782958706187812	0.0230856157645833	depleted in absence of Pc and vg
CG31955	120.956221655948	2.72416598954227	0.297948088794268	9.1430893232656	6.06932240189512e-20	3.43938591417597e-18	enriched in absence of Pc and vg
slp1	219.630025667447	-1.10142375211368	0.169412774613185	-6.50142089124347	7.95648745213045e-11	1.39609330380431e-09	depleted in absence of Pc and vg
slp2	261.070411227016	-1.23673974666154	0.131286622275511	-9.4201505471455	4.50441716880582e-21	2.82658539513707e-19	depleted in absence of Pc and vg
bdl	248.6095343128	-1.19224947448784	0.203891146909118	-5.84748034704653	4.99074778981404e-09	6.40835094814619e-08	depleted in absence of Pc and vg
Traf4	706.447783039474	-1.18022488850328	0.0905628374592525	-13.0321103182562	8.0354056467364e-39	1.94020109822394e-36	depleted in absence of Pc and vg
CG15630	470.675103716802	-1.28519463961765	0.166439257109703	-7.72170377311019	1.147849120761e-14	3.56121792857329e-13	depleted in absence of Pc and vg
Clect27	604.850502476941	-1.82817922814823	0.530424248318334	-3.44663584657813	0.000567613112968108	0.00246076457679031	depleted in absence of Pc and vg
CG15629	22.3444633580717	1.71577414484037	0.51275777473974	3.34616895026359	0.000819364546989025	0.0033587700442368	enriched in absence of Pc and vg
CG12194	13.0796800095878	-1.984670102247	0.719758166823963	-2.75741241117783	0.00582608194559058	0.0180654081992391	depleted in absence of Pc and vg
hoe1	65.7552505781879	-2.03068131372694	0.430933993957571	-4.71227924044181	2.4496139129213e-06	1.91739688025489e-05	depleted in absence of Pc and vg
hoe2	44.7350370869766	-2.90297241361985	0.685040411447466	-4.23766593197906	2.25855490050222e-05	0.000141169213730322	depleted in absence of Pc and vg
Jon25Bii	3.9756895065399	-4.50491148766931	1.67670169243849	-2.68676981002962	0.00721466536660039	0.0215412065125888	depleted in absence of Pc and vg
Jon25Bi	7.12142662860403	-5.83393083438921	1.8029273869112	-3.23581020330718	0.00121298007764021	0.00471398520726026	depleted in absence of Pc and vg
CG9121	34.7517932659617	-1.21035099879837	0.425341928628991	-2.84559531363321	0.00443284909085691	0.0143879762864254	depleted in absence of Pc and vg
qtc	153.765001875386	-1.27124425561875	0.16499101153031	-7.70493037061724	1.30914652539608e-14	4.02789209351086e-13	depleted in absence of Pc and vg
Cyp28d1	72.5572580724096	-3.42692316500438	1.07590721655477	-3.18514748509442	0.00144680252517858	0.00548264607545497	depleted in absence of Pc and vg
TpnC25D	83.8236045216526	-4.377300270122	1.41006205048009	-3.10433166301556	0.00190709416639485	0.006976974606768	depleted in absence of Pc and vg
Cyp4ac1	79.1607562108628	-2.15691026447938	0.521038400608066	-4.13963781165114	3.47854582575535e-05	0.000208393789032711	depleted in absence of Pc and vg
CG14024	30.0876023536166	-1.38651500711536	0.526671042676305	-2.63260155726375	0.00847336862883642	0.0246693854155927	depleted in absence of Pc and vg
CG14022	1.72350798563658	-3.89417512401276	1.59767874155611	-2.4373955931966	0.0147934855618198	0.0393748488222221	depleted in absence of Pc and vg
fusl	37.3619273847488	-2.98385344459802	0.867314331001948	-3.44033683976025	0.000580990620464086	0.0025118967775378	depleted in absence of Pc and vg
CR44793	3.41358242609871	-2.99899958271831	1.2718361433617	-2.35800782858034	0.0183733054819115	0.047053793863867	depleted in absence of Pc and vg
GluRIIA	16.3654525742573	-2.78392752674866	0.597239867536475	-4.66132232302566	3.14184232423715e-06	2.37552366884289e-05	depleted in absence of Pc and vg
DIP-theta	20.2613820144166	-2.09396140622976	0.79905824416115	-2.62053663988912	0.00877914956138582	0.0254242466374434	depleted in absence of Pc and vg
obst-E	51.5231508337071	-2.05293367762027	0.348203841672993	-5.89578124054194	3.72912755767923e-09	4.90170648321222e-08	depleted in absence of Pc and vg
CG11034	54.7086236947155	-1.46894994082442	0.381609122285448	-3.84935751018455	0.000118428051088016	0.00061842048116342	depleted in absence of Pc and vg
psd	1.71990845242177	-4.0870685967402	1.51090556843989	-2.70504569055256	0.00682949950876948	0.020598998785207	depleted in absence of Pc and vg
CG13992	1.4412328379844	-3.88582772497339	1.55112388314873	-2.50516916616956	0.012239283930059	0.0336656083732455	depleted in absence of Pc and vg
CR43465	7.74746231347904	-2.91106352655149	0.912971861019406	-3.18855777581256	0.00142984433249269	0.00542949777811838	depleted in absence of Pc and vg
CG9150	136.250392646106	-1.55059936470142	0.209686515942791	-7.39484538492915	1.41572908268693e-13	3.77992858687589e-12	depleted in absence of Pc and vg
Ddr	259.033813916236	-1.00734472402938	0.181602074846461	-5.54698906871555	2.90630904701084e-08	3.31454864696388e-07	depleted in absence of Pc and vg
CG13982	16.9355771616402	2.59001210462625	0.714401954911855	3.62542695581763	0.00028848443187891	0.00135426736469951	enriched in absence of Pc and vg
Tig	809.868259482661	-1.30742165457879	0.441422689315976	-2.96183609547745	0.0030581052878583	0.010454799724241	depleted in absence of Pc and vg
KFase	54.1924442325682	-1.1213169949766	0.444973850652705	-2.51996155129521	0.01173676538034	0.0325819177904115	depleted in absence of Pc and vg
CG9550	1.64342602094048	-4.66338192935404	1.65065334165013	-2.82517340963435	0.00472550339330296	0.0151790280761263	depleted in absence of Pc and vg
