geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_PcKD_change
CG13694	8.7042177677913	-3.47535490464404	1.31930859312333	-2.63422441327128	0.00843297305716894	0.039890104886128	depleted in absence of Pc
CG17075	104.332173899194	1.11388303732713	0.231735353049816	4.80670308896581	1.53439605848894e-06	2.88833387208799e-05	enriched in absence of Pc
CG13692	44.3526164678706	2.00076612968778	0.597909601685808	3.34626860656964	0.000819070099347169	0.00610932038413282	enriched in absence of Pc
Ets21C	124.246409478826	2.36200776425953	0.411431030889103	5.74095677507655	9.41431211093733e-09	3.10006335460158e-07	enriched in absence of Pc
Pph13	26.1865290276685	1.74793755081284	0.490784618842428	3.56151656695262	0.000368718837559265	0.00316205397544717	enriched in absence of Pc
CR43767	49.7065813611569	-7.81465441879526	0.88702428416635	-8.80996671487939	1.2518302420921e-18	1.97230669373311e-16	depleted in absence of Pc
CR44897	2.20938430069138	4.35552630477059	1.51667105702778	2.87176727253311	0.00408183449601659	0.0223779802321766	enriched in absence of Pc
CG10869	7.04015666457406	-1.98025815720594	0.764941477639161	-2.58877079501247	0.00963191817963826	0.044094981706605	depleted in absence of Pc
CG17646	187.548808646792	-1.2612900450447	0.252354827867516	-4.99808169196932	5.79034554810624e-07	1.19074154132843e-05	depleted in absence of Pc
CG16995	4.28465200815527	4.98670877890184	1.58878073142713	3.13870169763609	0.00169698102631261	0.0109576183420349	enriched in absence of Pc
CG15414	124.455246064076	-1.23656119724822	0.337284394263444	-3.66622713140524	0.000246155312080674	0.00227105995587223	depleted in absence of Pc
Clect27	604.850502476941	-1.40899708600981	0.52964713268289	-2.6602562329992	0.0078081225003729	0.037594256006732	depleted in absence of Pc
hoe1	65.7552505781879	-1.42965359678299	0.419306024947319	-3.40957084259071	0.000650651768961647	0.00507488557954016	depleted in absence of Pc
Cyp28d2	26.0523895708381	-1.55526846126599	0.383307803779234	-4.05749229713503	4.96024527179341e-05	0.00058814881414685	depleted in absence of Pc
GluRIIA	16.3654525742573	-1.33611426494267	0.518104062024107	-2.5788530970454	0.00991289324699714	0.0450990403120825	depleted in absence of Pc
CG11029	62.209268196398	-1.44082666954467	0.371900116435299	-3.87423021900381	0.000106962261504095	0.00112118784039247	depleted in absence of Pc
obst-E	51.5231508337071	-1.32327612653251	0.326821888519964	-4.04892136363651	5.1454228384206e-05	0.000604985939015676	depleted in absence of Pc
CR43465	7.74746231347904	-2.26080899684047	0.852834203107214	-2.65093612404785	0.00802690205394095	0.0384308106285223	depleted in absence of Pc
Gal	358.747295539043	1.50454148700357	0.478617818953679	3.14351331568201	0.00166932820623015	0.0108063148925429	enriched in absence of Pc
CG9150	136.250392646106	-2.52106320119886	0.219239595174095	-11.4991235921455	1.33261642755666e-30	7.18280254453038e-28	depleted in absence of Pc
CG13982	16.9355771616402	2.84387423991781	0.706579376210102	4.02484750569931	5.7012247745907e-05	0.000656316248194976	enriched in absence of Pc
Tig	809.868259482661	-1.22236648171173	0.441183850950476	-2.77065100882158	0.0055944352393641	0.0286893396526428	depleted in absence of Pc
CG11236	4.40016592407252	5.61236705121973	2.15123434634216	2.60890546897538	0.00908323307285703	0.0422248705851697	enriched in absence of Pc
CG6055	37.9934871367984	-3.61722558532984	0.817729909385453	-4.42349673628581	9.7116099693549e-06	0.000144559008279307	depleted in absence of Pc
CG7203	4.0129762386225	-3.70742769082623	1.28333751408305	-2.88889528291799	0.00386597793146772	0.0214587967458867	depleted in absence of Pc
Uro	3.26518929308718	-6.29502894324979	2.01921111479122	-3.11756848857316	0.00182349572698824	0.0115774455921182	depleted in absence of Pc
CG14535	82.1409533797433	-1.1776334381621	0.27701567508206	-4.25114368641142	2.12681661036067e-05	0.0002865885382461	depleted in absence of Pc
