geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_sdPc_change
CG13694	8.7042177677913	-7.37514356591924	1.70752606780762	-4.31919822775446	1.56597078317671e-05	8.40253018779891e-05	depleted in absence of sd and Pc
CG4822	208.666182041218	-2.25774560237182	0.310723710719257	-7.26608728103057	3.70049536361768e-13	6.86166978358959e-12	depleted in absence of sd and Pc
Gs1	655.41018367607	-3.48032286802908	0.504200291297675	-6.90265937584381	5.10379095945747e-12	7.86238643366076e-11	depleted in absence of sd and Pc
CG31974	5.86041687811931	-4.58170919824659	1.46786376149466	-3.12134499020621	0.0018002699665254	0.00583132065272605	depleted in absence of sd and Pc
CG17075	104.332173899194	1.11348131488129	0.233575236408453	4.7671205732364	1.8687748216791e-06	1.22096952614057e-05	enriched in absence of sd and Pc
CR46263	30.2164039793454	1.2991881299783	0.45027596434131	2.88531530187011	0.00391021826362799	0.0116249449288319	enriched in absence of sd and Pc
Amnionless	9.03417399912338	-4.29752380223765	1.27556515259201	-3.36911352078323	0.000754103634914529	0.0027088709809171	depleted in absence of sd and Pc
CG4213	30.4668697484376	-3.20390126213623	0.651062177552057	-4.92103730273912	8.60867190188176e-07	6.01361753548432e-06	depleted in absence of sd and Pc
CG13692	44.3526164678706	3.18851994069395	0.589415627868622	5.40962911387999	6.31554050006244e-08	5.51034629490915e-07	enriched in absence of sd and Pc
BBS8	46.8515199772066	2.43067155519994	0.435296667666784	5.58394248278646	2.35126494771689e-08	2.20570099445029e-07	enriched in absence of sd and Pc
CG4297	43.7058368140507	-1.48629218496347	0.336955041577857	-4.41095102184439	1.02917597624117e-05	5.79374433254472e-05	depleted in absence of sd and Pc
Ets21C	124.246409478826	4.32304484603625	0.400077402621207	10.8055211759343	3.2411118617791e-27	2.9507401187525e-25	enriched in absence of sd and Pc
CG11835	22.4928518858303	-1.59515715145479	0.44680053854985	-3.57017732483512	0.000356739652639061	0.00139223728807521	depleted in absence of sd and Pc
Pph13	26.1865290276685	2.2142089864029	0.487705319459897	4.54005502514305	5.62395492867328e-06	3.33681983935759e-05	enriched in absence of sd and Pc
Pkg21D	38.5979225821507	-3.23727736781086	0.62905079748255	-5.14628926752241	2.65689621196591e-07	2.0436389353397e-06	depleted in absence of sd and Pc
CG13949	3.56340983530554	-5.90304376865857	1.54520355132515	-3.82023699311085	0.000133323505999964	0.000579805865756305	depleted in absence of sd and Pc
GluRIIC	14.4591284281256	-3.59627237679443	0.934648373906819	-3.84772763447076	0.000119218486960985	0.000524212088153467	depleted in absence of sd and Pc
CR43767	49.7065813611569	-9.04579911547776	1.21730637482334	-7.43099625744631	1.07782762144496e-13	2.13394498955244e-12	depleted in absence of sd and Pc
CG5397	333.63991781299	-1.29637420700687	0.179173944242623	-7.23528307917041	4.64559115109586e-13	8.47267338509388e-12	depleted in absence of sd and Pc
robo2	2871.00387581027	1.20345089930446	0.0575469455729139	20.9125069510362	4.12006161868826e-97	1.14403810996926e-93	enriched in absence of sd and Pc
CR44897	2.20938430069138	3.62799683872157	1.56425417558363	2.31931414686359	0.0203780089160104	0.0478189624733171	enriched in absence of sd and Pc
chinmo	1307.85889827667	2.37901683867722	0.327018710427673	7.27486459586962	3.46768094003256e-13	6.46233761760767e-12	enriched in absence of sd and Pc
CG17646	187.548808646792	-2.2924987310856	0.262510685553221	-8.73297300738192	2.4806430773477e-18	8.71914641142434e-17	depleted in absence of sd and Pc
CG31664	1.8643132687581	-5.09788012988047	1.68787812775069	-3.02028922945641	0.00252533404480111	0.00788111414318794	depleted in absence of sd and Pc
CR42874	2.5644497651957	-5.18540704134295	1.8572110877159	-2.79203967477938	0.00523769335259549	0.0149550282949301	depleted in absence of sd and Pc
CG15353	2551.5504268678	-3.66929981554573	0.885262139549868	-4.14487376294152	3.40000962997126e-05	0.000168814961824277	depleted in absence of sd and Pc
Nplp4	323.314466471865	-5.74001044339226	0.738097116732683	-7.77676854883465	7.44005472968118e-15	1.70384923469214e-13	depleted in absence of sd and Pc
CG4259	91.173396391002	-1.84083842806924	0.295608517937861	-6.22728479176028	4.74587976976742e-10	5.74836277020793e-09	depleted in absence of sd and Pc
CG15382	14.794441455722	-1.53501198523774	0.583688676878339	-2.62984711892516	0.00854232738520696	0.0228515487156777	depleted in absence of sd and Pc
CG4267	126.432774676224	-1.25684274461489	0.310835972319286	-4.04342758412747	5.26754305730336e-05	0.000250885937982283	depleted in absence of sd and Pc
eys	31.9322727178374	1.70275754121118	0.543893700515648	3.1306807554433	0.00174401635242545	0.0056755902802196	enriched in absence of sd and Pc
Cyp309a1	9.5581223021088	-6.27635054549542	1.70415333251151	-3.68297290258828	0.000230529672607035	0.000937566119973027	depleted in absence of sd and Pc
CG31689	64.3430613884138	-2.3992399296294	0.480421919089156	-4.99402677999826	5.91331927470665e-07	4.28995670699979e-06	depleted in absence of sd and Pc
Syt1	282.829932345445	-1.06231161308307	0.450812203518407	-2.35643934390453	0.0184510807005751	0.0440327433394205	depleted in absence of sd and Pc
daw	159.690119518998	-1.51462169153737	0.396242098531133	-3.82246534921975	0.000132124049548851	0.00057490929807076	depleted in absence of sd and Pc
Rbp9	117.336614188505	-1.42983716453998	0.274719652103818	-5.2047138003787	1.94295814907613e-07	1.53161363816811e-06	depleted in absence of sd and Pc
CG31698	184.439241850519	-4.89003580898739	1.3829742787294	-3.53588341026855	0.000406414015543349	0.00156357480798059	depleted in absence of sd and Pc
CG15404	140.022809254554	-4.59542212041744	1.24541889898423	-3.68986059563211	0.000224376973959414	0.000917245141614727	depleted in absence of sd and Pc
CG9664	37.0480418080537	-3.15055538812317	0.846822451942548	-3.72044385561109	0.000198872951302222	0.000826368077109534	depleted in absence of sd and Pc
CG15412	5.28063023572555	-3.08187872801056	1.16410103107511	-2.64743234971992	0.00811055856080064	0.0219182418332878	depleted in absence of sd and Pc
Thor	1287.40499441242	-1.96619452594672	0.36762504042288	-5.3483694246861	8.87501703676546e-08	7.53054348566494e-07	depleted in absence of sd and Pc
CG15414	124.455246064076	-1.23428706769481	0.339018517946582	-3.64076592385226	0.000271828187748592	0.00108917593121342	depleted in absence of sd and Pc
tim	17.7505915774848	-1.69437930861885	0.634520229021874	-2.67033142699134	0.00757764102206809	0.0206235870698629	depleted in absence of sd and Pc
Drgx	50.7267351071079	-1.84987096386653	0.406673597900964	-4.54878549631594	5.39564062536533e-06	3.20477970192154e-05	depleted in absence of sd and Pc
CG16704	260.310034713616	-3.75168857301457	1.37496556801835	-2.72856910767711	0.00636097602902251	0.0177071079584845	depleted in absence of sd and Pc
CG3604	30.5064494876294	-5.77514759211557	1.0673606156972	-5.4106808019549	6.27855969768246e-08	5.48238699388043e-07	depleted in absence of sd and Pc
CG31778	99.2374264975518	-3.9977131824147	1.04275090505596	-3.83381415737076	0.000126171480219125	0.000551292931075462	depleted in absence of sd and Pc
slp1	219.630025667447	-1.49778674722726	0.174346288230777	-8.5908725813806	8.63113085156688e-18	2.87023863378304e-16	depleted in absence of sd and Pc
slp2	261.070411227016	-2.06162070616893	0.143165082962113	-14.4003039254657	5.15164770025796e-47	2.20074426949097e-44	depleted in absence of sd and Pc
lectin-24Db	127.74533366617	-2.07591027554565	0.227252353626256	-9.13482409497829	6.55131939201225e-20	2.71513076444329e-18	depleted in absence of sd and Pc
ft	6801.32849945045	1.0319936150423	0.0973316420069302	10.6028583692117	2.89009426244878e-26	2.37779829429768e-24	enriched in absence of sd and Pc
CG15630	470.675103716802	-1.00395826884363	0.165164632289373	-6.07853058446961	1.2128885093635e-09	1.36628323260653e-08	depleted in absence of sd and Pc
hoe2	44.7350370869766	-1.92909582721188	0.665142543782327	-2.90027430247071	0.0037283623106158	0.0111529545338028	depleted in absence of sd and Pc
Jon25Bii	3.9756895065399	-4.45726252233108	1.67670169235787	-2.65835153781174	0.00785239387316941	0.0213035023813612	depleted in absence of sd and Pc
Jon25Bi	7.12142662860403	-6.74807636174537	1.80292738734819	-3.74284422606207	0.000181949031252776	0.000762319083411765	depleted in absence of sd and Pc
vkg	901.94012240377	-1.12046018532782	0.218516836131695	-5.12756913912364	2.93507206686525e-07	2.24826520321878e-06	depleted in absence of sd and Pc
Col4a1	1464.41388182698	-1.16221031408393	0.151503783023537	-7.67116365604798	1.70442909315903e-14	3.72659329482625e-13	depleted in absence of sd and Pc
qtc	153.765001875386	-1.07879295669168	0.162734062847814	-6.62917730813709	3.37562912501352e-11	4.70428013695423e-10	depleted in absence of sd and Pc
Cyp28d1	72.5572580724096	-2.74415220408386	1.06943991273897	-2.56597137566686	0.0102887318359959	0.0268295471313765	depleted in absence of sd and Pc
TpnC25D	83.8236045216526	-7.93263257283835	1.61684092622996	-4.90625419244869	9.2832200780719e-07	6.4322348975137e-06	depleted in absence of sd and Pc
Cyp4ac1	79.1607562108628	-2.2741351984178	0.523441589008417	-4.34458255929915	1.39540757562216e-05	7.59000584840124e-05	depleted in absence of sd and Pc
CR44743	7.79744090195305	-3.07802617391277	0.917554857354297	-3.35459634837315	0.000794808692115057	0.00283310017436519	depleted in absence of sd and Pc
CG14022	1.72350798563658	-4.80832101719764	1.59767874063822	-3.00956687655296	0.00261620475373529	0.00813271374188019	depleted in absence of sd and Pc
fusl	37.3619273847488	-2.27977194839302	0.854842078163042	-2.66689252509889	0.00765561492605786	0.0208052153128761	depleted in absence of sd and Pc
GluRIIA	16.3654525742573	-2.21983686773155	0.56367984671278	-3.93811643378242	8.21237440370882e-05	0.000373678174936476	depleted in absence of sd and Pc
CG7236	9.0848973959561	2.2574871821575	0.756970376432312	2.98226621865613	0.00286123077311566	0.00878377285710217	enriched in absence of sd and Pc
CG11147	49.6540455195598	-1.47324893974768	0.323799533576756	-4.54987974650201	5.36765822077899e-06	3.1924740657905e-05	depleted in absence of sd and Pc
CG11029	62.209268196398	-1.8509363530384	0.38455592492993	-4.81317861212424	1.48548410628867e-06	9.96575651238383e-06	depleted in absence of sd and Pc
CG11034	54.7086236947155	-2.52218655313282	0.41272775963975	-6.11101747877176	9.89979216217017e-10	1.13827113400853e-08	depleted in absence of sd and Pc
CR43465	7.74746231347904	-3.99696415731739	1.05705652171233	-3.78122084790952	0.000156061150678104	0.000666681230992961	depleted in absence of sd and Pc
H2.0	15.0981867245509	-4.38121466584597	0.934339251918789	-4.6891047944829	2.74402843495399e-06	1.7287534785612e-05	depleted in absence of sd and Pc
